rank,model,Average Score,Character Score,Scene Score,Contextual_Alignment,Character_Consistency,Descriptive_Depth,Role_Specific_Knowledge,Engagement_and_Collaboration,Creativity_and_Emotional_Nuance
1,gemma-2-9b-sppo-iter3,494.74,509.08,480.39,92.04,94.76,59.47,75.28,93.66,79.54
2,gemini-1.5-pro,494.46,492.07,496.86,90.86,95.1,58.66,75.48,93.52,80.84
3,gemini-2.0-flash,489.37,484.92,493.82,89.9,93.9,58.18,75.09,92.1,80.21
4,deepseek-v3,481.55,490.46,472.64,86.48,90.42,59.83,75.46,89.88,79.47
5,gpt-4o-mini,471.57,474.35,468.78,84.26,88.17,58.88,74.1,87.79,78.36
6,gemini-1.5-pro-001,471.26,451.78,490.74,86.36,89.82,57.72,72.6,87.48,77.29
7,gpt-4-1106-preview,470.99,476.18,465.8,83.62,87.62,59.24,73.94,87.74,78.82
8,claude-3-5-sonnet,470.71,473.12,468.29,83.35,87.9,59.46,73.24,87.68,79.08
9,minimax-01,469.75,474.05,465.46,82.55,86.22,60.98,74.0,86.84,79.18
10,wizardlm-2-8x22b,469.54,475.87,463.21,82.3,86.14,61.2,74.34,86.9,78.65
11,llama-3-70b-instruct,467.73,470.78,464.68,83.32,87.39,58.0,73.43,87.4,78.18
12,qwen-2-72b-instruct,467.31,471.5,463.12,82.69,86.46,59.29,73.68,87.0,78.19
13,llama-3.1-70b-instruct,466.64,474.04,459.24,82.86,86.96,58.34,73.29,87.1,78.09
14,llama-3-1-405b-instruct-fp8,466.35,474.22,458.48,82.77,86.89,58.32,73.44,87.15,77.78
15,claude-3.5-sonnet-20240620,465.22,466.31,464.13,82.2,86.24,59.36,73.38,86.43,77.6
16,higgs-llama-3-70b,464.32,459.44,469.19,83.71,86.94,57.7,73.38,86.07,76.5
17,llama3.1-8B-instruct,464.18,469.33,459.03,82.42,86.51,58.11,73.03,86.54,77.58
18,yi-large,462.52,467.25,457.8,81.16,85.0,60.39,73.72,85.22,77.03
19,gpt-4o,461.36,461.67,461.05,81.6,85.71,58.55,72.95,85.22,77.32
20,yi-34b,459.22,458.82,459.61,81.38,85.36,57.86,72.85,85.43,76.34
21,mythomax-13b,459.08,457.81,460.35,82.19,86.9,56.16,72.62,85.3,75.91
22,mistral-large-2402,458.7,453.8,463.59,79.72,83.0,60.7,72.17,84.9,78.21
